date,category,price,customer_id
2025-04-22,Health & Beauty,45.00,CUST-3810
2025-04-28,Sports,180.00,CUST-9281
2025-05-02,Electronics,1600.00,CUST-5832
2025-05-10,Fashion,145.00,CUST-2918
2025-05-15,Home Appliances,390.75,CUST-4821
2025-05-22,Sports,220.00,CUST-7391
2025-06-01,Electronics,1200.00,CUST-8291
2025-06-08,Health & Beauty,55.00,CUST-1928
2025-06-12,Fashion,89.50,CUST-3829
2025-06-15,Home Appliances,1200.00,CUST-4821
2025-06-24,Sports,320.00,CUST-7391
2025-07-01,Electronics,1150.20,CUST-8291
2025-07-08,Health & Beauty,55.00,CUST-1928
2025-07-12,Fashion,89.50,CUST-3829
2025-07-15,Home Appliances,1200.00,CUST-4821
2025-07-24,Sports,320.00,CUST-7391
2025-08-01,Electronics,1150.20,CUST-8291
2025-08-08,Health & Beauty,55.00,CUST-1928
2025-08-12,Fashion,89.50,CUST-3829
2025-08-15,Home Appliances,1200.00,CUST-4821
2025-08-24,Sports,320.00,CUST-7391
2025-09-01,Electronics,1150.20,CUST-8291
2025-09-08,Health & Beauty,55.00,CUST-1928
2025-09-12,Fashion,89.50,CUST-3829
2025-09-15,Home Appliances,1200.00,CUST-4821
2025-09-24,Sports,320.00,CUST-7391
2025-10-01,Electronics,1150.20,CUST-8291
2025-10-08,Health & Beauty,55.00,CUST-1928
2025-10-12,Fashion,89.50,CUST-3829
2025-10-15,Home Appliances,1200.00,CUST-4821
2025-10-24,Sports,320.00,CUST-7391
2025-11-01,Electronics,1150.20,CUST-8291
2025-11-08,Health & Beauty,55.00,CUST-1928
2025-11-12,Fashion,89.50,CUST-3829
2025-11-15,Home Appliances,1200.00,CUST-4821
2025-11-24,Sports,320.00,CUST-7391
2025-12-01,Electronics,1150.20,CUST-8291
2025-12-08,Health & Beauty,55.00,CUST-1928
2025-12-12,Fashion,89.50,CUST-3829
2025-12-15,Home Appliances,1200.00,CUST-4821
2025-12-24,Sports,320.00,CUST-7391
2026-01-01,Electronics,1150.20,CUST-8291
2026-01-08,Health & Beauty,55.00,CUST-1928
2026-01-12,Fashion,89.50,CUST-3829
2026-01-15,Home Appliances,1200.00,CUST-4821
2026-01-24,Sports,320.00,CUST-7391
2026-02-01,Electronics,1150.20,CUST-8291
2026-02-08,Health & Beauty,55.00,CUST-1928
2026-02-12,Fashion,89.50,CUST-3829
2026-02-15,Home Appliances,1200.00,CUST-4821
2026-02-24,Sports,320.00,CUST-7391
2026-03-01,Electronics,1150.20,CUST-8291
2026-03-08,Health & Beauty,55.00,CUST-1928
2026-03-12,Fashion,89.50,CUST-3829
2026-03-15,Home Appliances,1200.00,CUST-4821
2026-03-24,Sports,320.00,CUST-7391
2026-04-01,Electronics,1150.20,CUST-8291
2026-04-08,Health & Beauty,55.00,CUST-1928
2026-04-12,Fashion,89.50,CUST-3829
2026-04-15,Home Appliances,1200.00,CUST-4821
2026-04-24,Sports,320.00,CUST-7391
